Issue Key,Issue Name,Issue Type,Components,Total Worklog Time (hours),Time in Done (hours),Time in In Progress (hours),Time in Review (hours),Time in Testing (hours),Time in To Do (hours),Transitions from Done,Transitions from In Progress,Transitions from Review,Transitions from Testing,Transitions from To Do
YIAM-291,Avatar Editor: iOS - presentation,Sub-task,,3.25,0,0,0,0,0,0,0,0,0,1
YIAM-286,Onboarding ,Task,,11.0,0,0,0,0,0,0,0,0,0,1
YIAM-283,Opakovany match - iOS,Sub-task,,2.0,0,0,0,0,0,0,0,0,0,1
YIAM-288,iOS - Zmizení chatu po naskenovani QR kodu u Yiameetu,Bug,iOS,0.5,0,0,0.0005775,0.0005536111111111112,0,0,0,1,1,1
YIAM-287,Tempo tracking,Epic,,1.5,0,0,0,0,0,0,0,0,0,1
YIAM-290,iOS - Užívateľ dostáva notifikácie o novej správe aj keď sa nachádza v chate,Bug,,4.0,0,0.16091333333333332,113.69270472222223,0,0,0,1,1,0,1
YIAM-281,Notification Badge: iOS,Sub-task,,6.0,0,0.0030366666666666667,3.7111461111111113,0,0,0,1,1,0,1
YIAM-282,Avatar Editor: iOS - UI,Sub-task,,12.0,0,95.28671361111111,27.027438888888888,0,0,0,1,1,0,1
YIAM-274,Blind Yiameet - iOS,Sub-task,,4.75,0,19.385739166666664,4.939304444444444,0,0,0,1,1,0,1
YIAM-280,MessagesAction: iOS - Deletion reason,Sub-task,,2.5,0,121.71952305555556,4.25463,0,0,0,1,1,0,1
YIAM-279,MessagesAction: BE - Deletion reason,Sub-task,BE,4.75,0,144.65969055555556,0.0009727777777777777,0,0,0,1,1,0,1
YIAM-264,Filter na vlastne zaujmy - BE,Sub-task,BE,0,0,0,0,0,0,0,0,0,0,1
YIAM-277,Notification Badge: BE,Sub-task,BE,11.0,0,67.86171055555556,0.8338394444444445,0,0,0,1,1,0,1
YIAM-266,Presun tlacitka pre vytvorenie zaujmu - iOS,Sub-task,iOS,1.25,0,0.03104,58.8548125,57.582015,0,0,1,1,1,1
YIAM-278,Avatar Editor: BE,Sub-task,BE,6.0,0,105.09630416666667,15.779096388888888,2.776157222222222,0,0,2,2,1,1
YIAM-260,Blind Yiameet - BE,Sub-task,BE,2.0,0,95.41610916666667,0.0004694444444444444,0,0,0,1,1,0,1
YIAM-262,Opakovany match - BE,Sub-task,BE,6.75,0,137.44635527777777,0.00046166666666666665,189.51382166666667,0,0,2,1,1,1
YIAM-247,Map: iOS - Clustering,Sub-task,iOS,1.0,0,0,0,0,0,0,0,0,0,1
YIAM-246,Map: iOS - Skeleton + Apple Maps + API loading,Sub-task,iOS,7.0,0,0,0,0,0,0,0,0,0,1
YIAM-248,Map: iOS - Marker rendering,Sub-task,iOS,2.25,0,0,0,0,0,0,0,0,0,1
YIAM-249,Map: iOS - Filter,Sub-task,iOS,2.5,0,0,0,0,0,0,0,0,0,1
YIAM-206,Account: AN - UI + presentation + BE,Sub-task,AN,4.0,0,0,0,0,0,0,0,0,0,1
YIAM-205,Profile: AN,Sub-task,AN,26.25,0,124.50021027777777,1.4499902777777778,0,0,0,1,1,0,1
YIAM-189,Pick your interests: AN - UI a prezentačná logika,Sub-task,AN,7.75,0,0,0,0,0,0,0,0,0,1
YIAM-188,Pick your interests: AN - napojenie na BE,Sub-task,AN,3.0,0,0,0,0,0,0,0,0,0,1
YIAM-187,Preview: AN - UI & prezentácia a animácie,Sub-task,AN,11.0,0,96.82538249999999,72.05966027777778,0,0,0,1,1,0,1
YIAM-186,Login / Signup: AN - Prezentácia a dátova vrstva,Sub-task,AN,5.0,0,71.00864861111111,5.502128333333333,0,0,0,1,1,0,1
YIAM-185,Login / Signup: AN - Google Signup,Sub-task,AN,5.5,0,161.30437861111113,5.502056388888889,0,0,0,1,1,0,1
YIAM-184,Login / Signup: AN - UI,Sub-task,AN,15.0,0,71.00892805555556,5.5021008333333326,0,0,0,1,1,0,1
YIAM-182,Networking: AN - Implementácia networking vrstvy,Sub-task,AN,18.75,0,23.47464833333333,5.0747486111111115,26.707170277777777,0,0,1,1,1,1
YIAM-179,Project setup: AN - Project setup,Sub-task,AN,13.0,0,5.803195555555556,65.83489,31.758888055555555,0,0,1,1,1,1
YIAM-178,iOS - Chat neukazuje dizajn pre novú správu,Bug,iOS,4.75,0,22.733910277777778,58.522311388888895,624.2994619444444,66.91106500000001,0,4,3,3,2
YIAM-177,iOS - zobrazuje se chyba a nelze pozadat o yiameet i kdyz oba uzivatele uz jsou unveiled,Bug,iOS,0.5,0,0.23901722222222221,57.70169444444445,57.33204222222223,0,0,1,1,1,1
YIAM-176,iOS - na malých devicech se špatně zobrazuje nickname yiamika,Bug,iOS,0.25,0,0.14701333333333336,57.700332499999995,56.92581972222222,0,0,1,1,1,1
YIAM-175,iOS - špatná data po odhalení profilu,Bug,iOS,2.75,0,0,4.342155277777778,0,0,0,0,1,0,1
YIAM-174,iOS - oba yiamici vidi v yiameetu stejne jmeno (Fáze 2),Bug,iOS,1.25,0,0.7639766666666666,57.71512750000001,58.39917777777777,71.68564694444444,0,1,2,2,2
YIAM-169,Pri zvoleni distance 70km vratit vsetkych uzivatelov na zaklade ostatnych filtrov,Story,BE,0,0,0,0.0005033333333333334,21.826920833333332,0,0,0,1,1,1
